Año;Código de subpartida;Subpartida de gasto;Procedimientos iniciados;Procedimientos adjudicados;Monto adjudicado en colones;Porcentaje
2018;10701;Actividades de capacitación;7835;4434;9330953926;0.76
2018;10702;Actividades protocolarias y sociales;5453;2028;5443830768;0.44
2018;40207;Adquisición de valores del Sector Privado;1;1;522000;0
2018;50205;Aeropuertos;9;8;8775985335;0.72
2018;20204;Alimentos para animales;182;59;301809751;0.02
2018;20203;Alimentos y bebidas;7299;934;14643968977;1.2
2018;10101;Alquiler de edificios, locales y terrenos;557;342;15721985109;1.28
2018;10103;Alquiler de equipo de cómputo;224;89;10074353290;0.82
2018;10104;Alquiler de equipo y derechos para telecomunicaciones;143;84;1827794298;0.15
2018;10102;Alquiler de maquinaria, equipo y mobiliario;3208;1389;19337836155;1.58
2018;60203;Ayudas a funcionarios;64;15;46405198;0
2018;60201;Becas a funcionarios;61;44;30363364;0
2018;60202;Becas a terceras personas;11;5;5648598;0
2018;59903;Bienes intangibles;1458;583;13622542522;1.11
2018;20101;Combustibles y lubricantes;3984;1829;5342446755;0.44
2018;10306;Comisiones y gastos por servicios financieros y comerciales;79;41;1894567138;0.15
2018;19905;Deducibles;17;13;6835705;0
2018;50201;Edificios;1375;502;1,83403E+11;14.97
2018;50302;Edificios preexistentes;8;5;281257930;0.02
2018;20503;Energía eléctrica;10;2;3716062;0
2018;50103;Equipo de comunicación;2595;948;13971079706;1.14
2018;50102;Equipo de transporte;1305;402;32950888483;2.69
2018;50106;Equipo sanitario, de laboratorio e investigación;4325;1202;49584815158;4.05
2018;50104;Equipo y mobiliario de oficina;5049;1590;10124556543;0.83
2018;50107;Equipo y mobiliario educacional, deportivo y recreativo;5228;554;9153451458;0.75
2018;50105;Equipo y programas de cómputo //(2019) Equipo de cómputo;5433;1640;77710531201;6.34
2018;19904;Gastos de misiones especiales en el exterior;2;0;0;0
2018;19903;Gastos de oficinas en el exterior;2;2;13220000;0
2018;10703;Gastos de representación institucional;8;7;1142725;0
2018;20401;Herramientas e instrumentos;12841;1379;2406700296;0.2
2018;10303;Impresión, encuadernación y otros;2568;572;1280319415;0.1
2018;10903;Impuestos de patentes;3;1;215775;0
2018;10301;Información;1725;1014;4605544503;0.38
2018;50207;Instalaciones;1058;479;39523858504;3.23
2018;19902;Intereses moratorios y multas;1;1;4067231;0
2018;20303;Madera y sus derivados;1499;432;1122698411;0.09
2018;10801;Mantenimiento de edificios, locales y terrenos;3496;1619;34581779054;2.82
2018;10803;Mantenimiento de instalaciones y otras obras;857;503;42524269823;3.47
2018;10802;Mantenimiento de vías de comunicación;363;188;12666282113;1.03
2018;10808;Mantenimiento y reparación de equipo de cómputo y sistemas de información;2210;1018;15236753907;1.24
2018;10806;Mantenimiento y reparación de equipo de comunicación;760;236;2230698020;0.18
2018;10805;Mantenimiento y reparación de equipo de transporte;7883;3720;5231105649;0.43
2018;10807;Mantenimiento y reparación de equipo y mobiliario de oficina;1355;517;1965596874;0.16
2018;10804;Mantenimiento y reparación de maquinaria y equipo de producción;3105;1253;5605599166;0.46
2018;10899;Mantenimiento y reparación de otros equipos;3758;1361;6912551690;0.56
2018;50199;Maquinaria, equipo y mobiliario diverso;6318;2192;19176025113;1.57
2018;50101;Maquinaria y equipo para la producción;2587;806;22488799153;1.84
2018;20501;Materia prima;236;49;7433425329;0.61
2018;20306;Materiales y productos de plástico;9642;943;2815593612;0.23
2018;20305;Materiales y productos de vidrio;210;89;74480974;0.01
2018;20304;Materiales y productos eléctricos, telefónicos y de cómputo;13614;1402;7683763942;0.63
2018;20301;Materiales y productos metálicos;17174;1836;12144538874;0.99
2018;20302;Materiales y productos minerales y asfálticos;6265;1674;62595068076;5.11
2018;99999;No afecta presupuesto institucional;40;13;524018449;0.04
2018;10603;Obligaciones por contratos de seguros;4018;1685;1766586364;0.14
2018;50204;Obras marítimas y fluviales;54;17;527093496;0.04
2018;50206;Obras urbanísticas;12;7;42984891;0
2018;50299;Otras construcciones, adiciones y mejoras;1992;822;32143377959;2.62
2018;50399;Otras obras preexistentes;3;2;863350;0
2018;60399;Otras prestaciones;49;28;144946507;0.01
2018;10199;Otros alquileres;194;136;1334609640;0.11
2018;59999;Otros bienes duraderos;362;68;7877080963;0.64
2018;20599;Otros bienes para la producción y comercialización;134;49;1560890920;0.13
2018;10999;Otros impuestos;9;5;16726719;0
2018;20399;Otros materiales y productos de uso en la construcción y mantenimiento;8761;818;2222555454;0.18
2018;20199;Otros productos químicos y conexos;8085;1307;4149776861;0.34
2018;10299;Otros servicios básicos;268;144;1876618345;0.15
2018;10499;Otros servicios de gestión y apoyo;5591;2010;28546210546;2.33
2018;19999;Otros servicios no especificados;825;391;2716899690;0.22
2018;29999;Otros útiles, materiales y suministros diversos;7606;1668;6412928847;0.52
2018;59902;Piezas y obras de colección;53;28;236652304;0.02
2018;20202;Productos agroforestales;479;82;491091339;0.04
2018;29903;Productos de papel, cartón e impresos;15583;1764;7235562466;0.59
2018;20102;Productos farmacéuticos y medicinales;3934;944;42271772682;3.45
2018;20201;Productos pecuarios y otras especies;55;27;841757709;0.07
2018;20502;Productos terminados;62;14;10308668646;0.84
2018;20103;Productos veterinarios;358;44;44321939;0
2018;10302;Publicidad y propaganda;3668;1408;18869532951;1.54
2018;20402;Repuestos y accesorios;25908;4189;13418843802;1.1
2018;10601;Seguros;68;39;500413582;0.04
2018;59901;Semovientes;39;16;434153125;0.04
2018;10201;Servicio de agua y alcantarillado;16;14;317143281;0.03
2018;10203;Servicio de correo;91;32;336346241;0.03
2018;10202;Servicio de energía eléctrica;11;9;335653387;0.03
2018;10204;Servicio de telecomunicaciones;216;130;14037565516;1.15
2018;10305;Servicios aduaneros;16;13;63790129;0.01
2018;10405;Servicios de desarrollo de sistemas informáticos //(2019) Servicios informáticos;524;356;15797425103;1.29
2018;10403;Servicios de ingeniería y arquitectura;1468;768;19255425466;1.57
2018;19901;Servicios de regulación;31;28;631559373;0.05
2018;10307;Servicios de transferencia electrónica de información //(2019)Servicios de tecnologías de información;522;197;2702520443;0.22
2018;10404;Servicios en ciencias económicas y sociales;1043;664;9094525165;0.74
2018;10406;Servicios generales;3354;1497;41293694417;3.37
2018;10402;Servicios jurídicos;408;287;3310709911;0.27
2018;10401;Servicios médicos y de laboratorio //(2019) Servicios en ciencias de la salud;554;186;2149482768;0.18
2018;50301;Terrenos;53;22;4332102718;0.35
2018;29904;Textiles y vestuario;8763;1597;5253944151;0.43
2018;20104;Tintas, pinturas y diluyentes;8910;1306;1998230162;0.16
2018;60501;Transferencias corrientes a empresas privadas;19;6;50319726;0
2018;10304;Transporte de bienes;264;103;732598696;0.06
2018;10501;Transporte dentro del país;1586;653;1516543154;0.12
2018;10503;Transporte en el exterior;1377;971;1134380830;0.09
2018;29907;Útiles y materiales de cocina y comedor;2589;229;383579232;0.03
2018;29905;Útiles y materiales de limpieza;7952;1051;1717186304;0.14
2018;29901;Útiles y materiales de oficina y cómputo;14847;1058;6514487281;0.53
2018;29906;Útiles y materiales de resguardo y seguridad;4592;883;1870659889;0.15
2018;29902;Útiles y materiales médico, hospitalario y de investigación;16802;1789;50985261878;4.16
2018;50202;Vías de comunicación terrestre;2239;817;57731879991;4.71
2018;50203;Vías férreas;10;7;961858919;0.08
2018;10502;Viáticos dentro del país;72;39;131775946;0.01
2018;10504;Viáticos en el exterior;37;16;30011703;0
2019;10701;Actividades de capacitación;7327;4309;12942477588;0.89
2019;10702;Actividades protocolarias y sociales;4133;1750;5011272978;0.34
2019;50205;Aeropuertos;5;3;803935607;0.06
2019;20204;Alimentos para animales;188;55;323048561;0.02
2019;20203;Alimentos y bebidas;8087;882;11933230941;0.82
2019;10101;Alquiler de edificios, locales y terrenos;667;505;67436286124;4.62
2019;10103;Alquiler de equipo de cómputo;203;96;8684597443;0.59
2019;10104;Alquiler de equipo y derechos para telecomunicaciones;84;73;1317029093;0.09
2019;10102;Alquiler de maquinaria, equipo y mobiliario;2909;1141;10514071136;0.72
2019;60203;Ayudas a funcionarios;20;5;11953140;0
2019;60201;Becas a funcionarios;26;15;18782672;0
2019;60202;Becas a terceras personas;11;7;42131503;0
2019;59903;Bienes intangibles;2238;1010;30659549291;2.1
2019;20101;Combustibles y lubricantes;3573;1671;4617179953;0.32
2019;10306;Comisiones y gastos por servicios financieros y comerciales;78;41;702692034;0.05
2019;19905;Deducibles;9;9;2217459;0
2019;50201;Edificios;635;403;213091000000;14.59
2019;50302;Edificios preexistentes;38;9;1234959437;0.08
2019;20503;Energía eléctrica;3;3;757943670;0.05
2019;50103;Equipo de comunicación;2126;848;11154796762;0.76
2019;50102;Equipo de transporte;1502;352;23100924537;1.58
2019;50106;Equipo sanitario, de laboratorio e investigación;4632;1198;51162256904;3.5
2019;50104;Equipo y mobiliario de oficina;4332;1348;7414958481;0.51
2019;50107;Equipo y mobiliario educacional, deportivo y recreativo;5044;532;12387294078;0.85
2019;50105;Equipo y programas de cómputo //(2019) Equipo de cómputo;3775;1346;108275000000;7.41
2019;19904;Gastos de misiones especiales en el exterior;5;2;9657445;0
2019;19903;Gastos de oficinas en el exterior;8;7;18983251;0
2019;10703;Gastos de representación institucional;14;8;31625186;0
2019;20401;Herramientas e instrumentos;10808;1278;2163502705;0.15
2019;10303;Impresión, encuadernación y otros;1741;530;1762964095;0.12
2019;10301;Información;1749;831;7898962979;0.54
2019;50207;Instalaciones;879;442;204195000000;13.98
2019;19902;Intereses moratorios y multas;2;2;2861872;0
2019;20303;Madera y sus derivados;1253;350;359237745;0.02
2019;10801;Mantenimiento de edificios, locales y terrenos;3457;1404;19584559236;1.34
2019;10803;Mantenimiento de instalaciones y otras obras;778;427;7558791479;0.52
2019;10802;Mantenimiento de vías de comunicación;305;148;16588161137;1.14
2019;10808;Mantenimiento y reparación de equipo de cómputo y sistemas de información;1715;816;25470328671;1.74
2019;10806;Mantenimiento y reparación de equipo de comunicación;444;225;4016930906;0.28
2019;10805;Mantenimiento y reparación de equipo de transporte;7795;3530;7537175298;0.52
2019;10807;Mantenimiento y reparación de equipo y mobiliario de oficina;1411;534;2844622991;0.19
2019;10804;Mantenimiento y reparación de maquinaria y equipo de producción;2870;1207;4218108297;0.29
2019;10899;Mantenimiento y reparación de otros equipos;5279;1452;26367964085;1.81
2019;50199;Maquinaria, equipo y mobiliario diverso;5948;2028;18811038386;1.29
2019;50101;Maquinaria y equipo para la producción;2601;690;30107481007;2.06
2019;20501;Materia prima;487;56;4684659064;0.32
2019;20306;Materiales y productos de plástico;7717;839;2303306767;0.16
2019;20305;Materiales y productos de vidrio;180;78;108591906;0.01
2019;20304;Materiales y productos eléctricos, telefónicos y de cómputo;9780;1239;16295483540;1.12
2019;20301;Materiales y productos metálicos;14886;1579;5943467066;0.41
2019;20302;Materiales y productos minerales y asfálticos;6136;1424;12670346015;0.87
2019;99999;No afecta presupuesto institucional;8;6;50261215;0
2019;10603;Obligaciones por contratos de seguros;3451;948;1692764281;0.12
2019;50204;Obras marítimas y fluviales;42;8;482452426;0.03
2019;50206;Obras urbanísticas;7;7;1401630539;0.1
2019;50299;Otras construcciones, adiciones y mejoras;2328;800;34238953516;2.34
2019;50399;Otras obras preexistentes;18;6;105044301;0.01
2019;60399;Otras prestaciones;24;8;13185939;0
2019;10199;Otros alquileres;251;156;16168706420;1.11
2019;59999;Otros bienes duraderos;453;76;721903498;0.05
2019;20599;Otros bienes para la producción y comercialización;186;54;1444120673;0.1
2019;10999;Otros impuestos;9;6;3068429;0
2019;20399;Otros materiales y productos de uso en la construcción y mantenimiento;7150;682;1509031747;0.1
2019;20199;Otros productos químicos y conexos;7048;1227;4587125839;0.31
2019;10299;Otros servicios básicos;311;175;3626770888;0.25
2019;10499;Otros servicios de gestión y apoyo;4843;1983;45208461711;3.1
2019;19999;Otros servicios no especificados;752;339;14688874208;1.01
2019;29999;Otros útiles, materiales y suministros diversos;5901;1321;5687710193;0.39
2019;59902;Piezas y obras de colección;114;30;176457507;0.01
2019;20202;Productos agroforestales;345;67;456200301;0.03
2019;29903;Productos de papel, cartón e impresos;11183;1487;3446015441;0.24
2019;20102;Productos farmacéuticos y medicinales;3298;911;34924395008;2.39
2019;20201;Productos pecuarios y otras especies;50;18;41609526;0
2019;20502;Productos terminados;4;4;238747806;0.02
2019;20103;Productos veterinarios;442;36;148353189;0.01
2019;10302;Publicidad y propaganda;2622;1029;16191685936;1.11
2019;20402;Repuestos y accesorios;23964;4180;18130857523;1.24
2019;10601;Seguros;73;37;2118011389;0.15
2019;59901;Semovientes;24;12;284936700;0.02
2019;10201;Servicio de agua y alcantarillado;15;6;46315916;0
2019;10203;Servicio de correo;95;36;737177651;0.05
2019;10202;Servicio de energía eléctrica;1;1;784297;0
2019;10204;Servicio de telecomunicaciones;185;117;2112450098;0.14
2019;10305;Servicios aduaneros;21;12;16153718;0
2019;10405;Servicios de desarrollo de sistemas informáticos //(2019) Servicios informáticos;449;314;4726279214;0.32
2019;10403;Servicios de ingeniería y arquitectura;1710;798;47353797651;3.24
2019;19901;Servicios de regulación;3;2;5735866;0
2019;10307;Servicios de transferencia electrónica de información //(2019)Servicios de tecnologías de información;636;292;6726254290;0.46
2019;10404;Servicios en ciencias económicas y sociales;1202;593;9377390842;0.64
2019;10406;Servicios generales;3436;1252;68279379652;4.67
2019;10402;Servicios jurídicos;443;307;2428403434;0.17
2019;10401;Servicios médicos y de laboratorio //(2019) Servicios en ciencias de la salud;521;207;7005643778;0.48
2019;50301;Terrenos;39;30;5953763117;0.41
2019;29904;Textiles y vestuario;8712;1497;4890545461;0.33
2019;20104;Tintas, pinturas y diluyentes;7639;1124;2481758295;0.17
2019;60501;Transferencias corrientes a empresas privadas;3;3;7053120;0
2019;10304;Transporte de bienes;265;125;539186745;0.04
2019;10501;Transporte dentro del país;1218;549;4860249579;0.33
2019;10503;Transporte en el exterior;1754;1229;1411808327;0.1
2019;29907;Útiles y materiales de cocina y comedor;2373;209;243261978;0.02
2019;29905;Útiles y materiales de limpieza;7590;933;1422580697;0.1
2019;29901;Útiles y materiales de oficina y cómputo;9363;869;1230032906;0.08
2019;29906;Útiles y materiales de resguardo y seguridad;4868;884;2753231141;0.19
2019;29902;Útiles y materiales médico, hospitalario y de investigación;15835;1746;18266000831;1.25
2019;50202;Vías de comunicación terrestre;2347;765;53217899288;3.64
2019;50203;Vías férreas;13;7;971555630;0.07
2019;10502;Viáticos dentro del país;94;42;506080734;0.03
2019;10504;Viáticos en el exterior;22;14;12918833;0
2020;10701;Actividades de capacitación;3754;2138;6029580481;0.53
2020;10702;Actividades protocolarias y sociales;952;370;6748667629;0.6
2020;50205;Aeropuertos;2;2;1746933474;0.15
2020;20204;Alimentos para animales;234;58;220032490;0.02
2020;20203;Alimentos y bebidas;7234;451;2586735549;0.23
2020;10101;Alquiler de edificios, locales y terrenos;491;324;17062609828;1.51
2020;10103;Alquiler de equipo de cómputo;298;94;3471422601;0.31
2020;10104;Alquiler de equipo y derechos para telecomunicaciones;100;72;414642840;0.04
2020;10102;Alquiler de maquinaria, equipo y mobiliario;1968;798;8468302031;0.75
2020;60203;Ayudas a funcionarios;75;4;13280544;0
2020;60201;Becas a funcionarios;3;2;102000;0
2020;59903;Bienes intangibles;2421;1063;44463128097;3.94
2020;20101;Combustibles y lubricantes;3087;1286;3266849703;0.29
2020;10306;Comisiones y gastos por servicios financieros y comerciales;88;31;2895732268;0.26
2020;19905;Deducibles;220;10;619510;0
2020;50201;Edificios;512;280;72119565485;6.4
2020;50302;Edificios preexistentes;15;9;12837100947;1.14
2020;20503;Energía eléctrica;1;0;0;0
2020;50103;Equipo de comunicación;1851;638;10189109375;0.9
2020;50102;Equipo de transporte;700;262;10447006396;0.93
2020;50106;Equipo sanitario, de laboratorio e investigación;3956;1046;44350244813;3.93
2020;50104;Equipo y mobiliario de oficina;3139;927;5213148590;0.46
2020;50107;Equipo y mobiliario educacional, deportivo y recreativo;5616;334;5775774003;0.51
2020;50105;Equipo y programas de cómputo //(2019) Equipo de cómputo;3367;1157;31616821456;2.8
2020;19904;Gastos de misiones especiales en el exterior;3;3;21619403;0
2020;20401;Herramientas e instrumentos;9852;1036;2060643495;0.18
2020;10303;Impresión, encuadernación y otros;843;308;585768567;0.05
2020;10902;Impuestos sobre bienes inmuebles;1;1;1000000;0
2020;10301;Información;975;539;4015917996;0.36
2020;50207;Instalaciones;656;370;75174559167;6.67
2020;20303;Madera y sus derivados;1239;299;250564569;0.02
2020;10801;Mantenimiento de edificios, locales y terrenos;2758;1149;21068239471;1.87
2020;10803;Mantenimiento de instalaciones y otras obras;852;461;10209087708;0.91
2020;10802;Mantenimiento de vías de comunicación;152;112;23010650045;2.04
2020;10808;Mantenimiento y reparación de equipo de cómputo y sistemas de información;1248;629;12328167876;1.09
2020;10806;Mantenimiento y reparación de equipo de comunicación;381;169;2054330396;0.18
2020;10805;Mantenimiento y reparación de equipo de transporte;6415;2908;9159733373;0.81
2020;10807;Mantenimiento y reparación de equipo y mobiliario de oficina;1188;377;2321504469;0.21
2020;10804;Mantenimiento y reparación de maquinaria y equipo de producción;2663;1190;3751799673;0.33
2020;10899;Mantenimiento y reparación de otros equipos;4548;1252;8527503962;0.76
2020;50199;Maquinaria, equipo y mobiliario diverso;4495;1474;12536876118;1.11
2020;50101;Maquinaria y equipo para la producción;2535;633;13328503282;1.18
2020;20501;Materia prima;252;47;12530152986;1.11
2020;20306;Materiales y productos de plástico;6664;623;1296925880;0.12
2020;20305;Materiales y productos de vidrio;244;76;51276618;0
2020;20304;Materiales y productos eléctricos, telefónicos y de cómputo;10328;991;6367431632;0.56
2020;20301;Materiales y productos metálicos;11649;1076;4312737259;0.38
2020;20302;Materiales y productos minerales y asfálticos;4869;931;10255416058;0.91
2020;99999;No afecta presupuesto institucional;3;3;4257439;0
2020;10603;Obligaciones por contratos de seguros;2389;769;2290473804;0.2
2020;50204;Obras marítimas y fluviales;10;4;1301666051;0.12
2020;50206;Obras urbanísticas;12;5;45843793;0
2020;50299;Otras construcciones, adiciones y mejoras;1308;556;25067108462;2.22
2020;50399;Otras obras preexistentes;2;2;11934873;0
2020;60399;Otras prestaciones;35;8;22443364;0
2020;10199;Otros alquileres;144;69;675756353;0.06
2020;59999;Otros bienes duraderos;269;54;1874419436;0.17
